P(an|he took) = 1.011660
P(the|he was) = 0.252915
P(was|he) = 0.337175
P(later|headstone was) = 1.011660
P(was|headstone) = 1.011525
P(los|hechos de) = 1.011660
P(de|hechos) = 1.011525
P(cort|hern n) = 1.011660
P(n|hern) = 1.011525
P(alternatively|hernandez indicated) = 1.011660
P(indicated|hernandez) = 1.011525
P(to|herrera referred) = 1.011660
P(description|herrera s) = 0.505830
P(tordesillas|herrera y) = 1.011660
P(y|herrera) = 0.252881
P(spain|hiatus in) = 1.011660
P(in|hiatus) = 1.011525
P(bore|him and) = 1.011660
P(his|him crushing) = 1.011660
P(of|him one) = 1.011660
P(sons|him two) = 1.011660
P(two|him) = 0.252881
P(family|his ancient) = 1.011660
P(harry|his biographer) = 1.011660
P(only|his birthplace) = 1.011660
P(and|his boat) = 1.011660
P(following|his chest) = 1.011660
P(law|his common) = 1.011660
P(it|his description) = 1.011660
P(was|his father) = 1.011660
P(on|his flagship) = 1.011660
P(general|his historia) = 1.011660
P(fell|his horse) = 1.011660
P(from|his men) = 1.011660
P(family|his rodrigues) = 1.011660
P(in|his second) = 1.011660
P(when|his shin) = 1.011660
P(in|his success) = 1.011660
P(two|his venture) = 1.011660
P(from|his voyage) = 1.011660
P(voyage|his) = 0.056196
P(de|historia general) = 1.011660
P(general|historia) = 1.011525
P(de|historian antonio) = 1.011660
P(o|historian jo) = 1.011660
P(jo|historian) = 0.505763
P(long|historians have) = 1.011660
P(have|historians) = 1.011525
P(the|honor of) = 1.011660
P(of|honor) = 1.011525
P(on|horse fell) = 1.011660
P(fell|horse) = 1.011525
P(and|hostile natives) = 1.011660
P(natives|hostile) = 1.011525
P(do|house casa) = 1.011660
P(the|house of) = 1.011660
P(local|house where) = 1.011660
P(where|house) = 0.252881
P(source|however the) = 1.011660
P(later|however they) = 1.011660
P(they|however) = 0.505763
P(cabrillo|hudson bay) = 1.011660
P(bay|hudson) = 1.011525
P(explorer|iberian maritime) = 1.011660
P(maritime|iberian) = 1.011525
P(francisco|in 1539) = 0.505830
P(the|in 1540) = 1.011660
P(1543|in 1542) = 1.011660
P(gave|in 2015) = 1.011660
P(with|in agreement) = 1.011660
P(alta|in beira) = 1.011660
P(s|in cabrilho) = 1.011660
P(brought|in command) = 1.011660
P(harbor|in cuyler) = 1.011660
P(and|in galician) = 1.011660
P(made|in guatemala) = 1.011660
P(historia|in his) = 1.011660
P(of|in honor) = 1.011660
P(on|in l) = 1.011660
P(there|in lapela) = 0.505830
P(then|in mexico) = 0.252915
P(gold|in mining) = 1.011660
P(was|in nicaragua) = 1.011660
P(1529|in november) = 1.011660
P(1542|in october) = 1.011660
P(de|in palma) = 1.011660
P(who|in portugal) = 0.505830
P(o|in s) = 1.011660
P(salvador|in san) = 1.011660
P(monica|in santa) = 1.011660
P(of|in search) = 1.011660
P(during|in seville) = 1.011660
P(she|in spain) = 0.505830
P(according|in spanish) = 1.011660
P(two|in the) = 0.168610
P(is|in what) = 1.011660
P(what|in) = 0.023524
P(least|including at) = 1.011660
P(at|including) = 1.011525
P(whom|indians appeared) = 1.011660
